Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
2,AFTERNOON,AUTUMN,1,3.0,0.0,0.6099162101745605
3,AFTERNOON,COLD,1,98.0,0.0,0.470634400844574
4,AFTERNOON,EVENING,17,22.0,15.0,0.7569273710250854
5,AFTERNOON,LOOK,1,56.0,0.0,0.46510589122772217
6,AFTERNOON,LUNCH,2,6.0,11.0,0.6842560172080994
7,AFTERNOON,NIGHT,3,59.0,11.0,0.673507034778595
8,AFTERNOON,PIG,2,48.0,0.0,0.3619403839111328
9,AFTERNOON,SUN,2,100.0,11.0,0.3368215262889862
10,AFTERNOON,WEST,2,61.0,0.0,0.47243618965148926
11,AGE,ANSWER,1,36.0,0.0,0.30379539728164673
12,AGE,BIRD,1,52.0,0.0,0.31552186608314514
13,AGE,BITE,2,44.0,0.0,0.2765900492668152
14,AGE,BLOOD,3,5.0,0.0,0.39013195037841797
16,AGE,CIRCLE,1,44.0,0.0,0.398690402507782
17,AGE,FACE,1,92.0,0.0,0.39322033524513245
18,AGE,FIGHT,1,3.0,0.0,0.3673062324523926
19,AGE,FIND,1,14.0,0.0,0.2951696813106537
20,AGE,GRANDFATHER,1,44.0,0.0,0.323604941368103
21,AGE,GRANDMOTHER,1,50.0,0.0,0.2487785667181015
22,AGE,HEAD,1,77.0,0.0,0.382660835981369
23,AGE,HEAVEN,1,14.0,0.0,0.41175875067710876
24,AGE,HEN,1,39.0,0.0,0.3850499093532562
25,AGE,MEASURE,1,86.0,1.0,0.4332221746444702
26,AGE,SAND,1,41.0,0.0,0.3278977870941162
27,AGE,SCRATCH,1,11.0,0.0,0.26132380962371826
28,AGE,SEASON,12,70.0,0.0,0.3547668755054474
29,AGE,SONG,1,16.0,0.0,0.33123287558555603
30,AGE,STRAIN,2,164.0,0.0,0.4642672538757324
31,AGE,SUMMER,5,5.0,0.0,0.4391786754131317
32,AGE,SWIM,1,2.0,0.0,0.3776595890522003
34,AGE,TIDE,1,73.0,0.0,0.2531338632106781
35,AGE,WEATHER,3,34.0,0.0,0.36410725116729736
36,AGE,WINTER,1,22.0,0.0,0.4205709993839264
37,AGE,WOUND,1,114.0,0.0,0.44601207971572876
38,AGE,YEAR,90,11.0,2.0,0.3544282913208008
39,ANIMAL,BIRD,15,16.0,4.0,0.4859340786933899
40,ANIMAL,BLOOD,1,31.0,0.0,0.5264021754264832
41,ANIMAL,BOOT,1,29.0,0.0,0.3094996213912964
