,concept_1,concept_2,colexification_count,age_acquisition_diff
0,ADULTERY,DECEIT,1,64.0
1,ADULTERY,WALK,1,377.0
2,AFTERNOON,AUTUMN,1,3.0
3,AFTERNOON,COLD,1,98.0
4,AFTERNOON,EVENING,17,22.0
5,AFTERNOON,LOOK,1,56.0
6,AFTERNOON,LUNCH,2,6.0
7,AFTERNOON,NIGHT,3,59.0
8,AFTERNOON,PIG,2,48.0
9,AFTERNOON,SUN,2,100.0
10,AFTERNOON,WEST,2,61.0
11,AGE,ANSWER,1,36.0
12,AGE,BIRD,1,52.0
13,AGE,BITE,2,44.0
14,AGE,BLOOD,3,5.0
15,AGE,BOWL (CLASSIFIER),1,2.0
16,AGE,CIRCLE,1,44.0
17,AGE,FACE,1,92.0
18,AGE,FIGHT,1,3.0
19,AGE,FIND,1,14.0
20,AGE,GRANDFATHER,1,44.0
21,AGE,GRANDMOTHER,1,50.0
22,AGE,HEAD,1,77.0
23,AGE,HEAVEN,1,14.0
24,AGE,HEN,1,39.0
25,AGE,MEASURE,1,86.0
26,AGE,SAND,1,41.0
27,AGE,SCRATCH,1,11.0
28,AGE,SEASON,12,70.0
29,AGE,SONG,1,16.0
30,AGE,STRAIN,2,164.0
31,AGE,SUMMER,5,5.0
32,AGE,SWIM,1,2.0
33,AGE,TEAR (OF EYE),3,6.0
34,AGE,TIDE,1,73.0
35,AGE,WEATHER,3,34.0
36,AGE,WINTER,1,22.0
37,AGE,WOUND,1,114.0
38,AGE,YEAR,90,11.0
39,ANIMAL,BIRD,15,16.0
40,ANIMAL,BLOOD,1,31.0
41,ANIMAL,BOOT,1,29.0
42,ANIMAL,BURN,2,5.0
43,ANIMAL,BUTTER,1,16.0
44,ANIMAL,CART,1,36.0
45,ANIMAL,CATTLE,33,39.0
46,ANIMAL,DEER,19,59.0
47,ANIMAL,DOG,1,53.0
48,ANIMAL,DOOR,2,8.0
49,ANIMAL,EYE,1,55.0
50,ANIMAL,FAT (ORGANIC SUBSTANCE),1,14.0
51,ANIMAL,FINISH,1,78.0
52,ANIMAL,FLESH,7,189.0
53,ANIMAL,HONEY,1,64.0
54,ANIMAL,INSECT,7,61.0
55,ANIMAL,MALE (OF ANIMAL),1,161.0
56,ANIMAL,MALE (OF PERSON),1,161.0
57,ANIMAL,MONEY,1,25.0
58,ANIMAL,PIG,1,11.0
59,ANIMAL,PRISONER,1,139.0
60,ANIMAL,SERVANT,1,184.0
61,ANIMAL,SLAVE,1,164.0
62,ANIMAL,SNAKE,2,67.0
63,ANIMAL,SOLDIER,1,53.0
64,ANIMAL,WOOL,2,25.0
65,ANIMAL,WORM,1,31.0
66,ANKLE,BEAM,1,130.0
67,ANKLE,BUTTER,1,58.0
68,ANKLE,ELBOW,2,27.0
69,ANKLE,KNEE,3,33.0
70,ANKLE,THROW,1,0.0
71,ANKLE,WAIST,1,61.0
72,ANSWER,BITE,1,80.0
73,ANSWER,BOAST,1,84.0
74,ANSWER,CALL,1,69.0
75,ANSWER,CLOSE (EYES),1,11.0
76,ANSWER,COVER,1,5.0
77,ANSWER,DYE,1,98.0
78,ANSWER,EMBRACE,1,198.0
79,ANSWER,EYE,1,127.0
80,ANSWER,FAT (OBESE),1,58.0
