Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity,concreteness_diff,concreteness_1,concreteness_2,target
2,AFTERNOON,AUTUMN,1,3.0,0.0,0.6099162101745605,15.0,406.0,421.0,0
3,AFTERNOON,COLD,1,98.0,0.0,0.470634400844574,51.0,406.0,457.0,0
4,AFTERNOON,EVENING,17,22.0,15.0,0.7569273710250854,33.0,406.0,439.0,1
5,AFTERNOON,LOOK,1,56.0,0.0,0.4651058912277221,30.0,406.0,376.0,0
6,AFTERNOON,LUNCH,2,6.0,11.0,0.6842560172080994,146.0,406.0,552.0,1
7,AFTERNOON,NIGHT,3,59.0,11.0,0.673507034778595,90.0,406.0,496.0,1
8,AFTERNOON,PIG,2,48.0,0.0,0.3619403839111328,208.0,406.0,614.0,1
9,AFTERNOON,SUN,2,100.0,11.0,0.3368215262889862,211.0,406.0,617.0,1
10,AFTERNOON,WEST,2,61.0,0.0,0.4724361896514892,51.0,406.0,355.0,1
11,AGE,ANSWER,1,36.0,0.0,0.3037953972816467,7.0,390.0,397.0,0
12,AGE,BIRD,1,52.0,0.0,0.3155218660831451,212.0,390.0,602.0,0
13,AGE,BITE,2,44.0,0.0,0.2765900492668152,119.0,390.0,509.0,1
14,AGE,BLOOD,3,5.0,0.0,0.3901319503784179,223.0,390.0,613.0,1
16,AGE,CIRCLE,1,44.0,0.0,0.398690402507782,125.0,390.0,515.0,0
17,AGE,FACE,1,92.0,0.0,0.3932203352451324,209.0,390.0,599.0,0
18,AGE,FIGHT,1,3.0,0.0,0.3673062324523926,65.0,390.0,455.0,0
19,AGE,FIND,1,14.0,0.0,0.2951696813106537,39.0,390.0,351.0,0
20,AGE,GRANDFATHER,1,44.0,0.0,0.323604941368103,175.0,390.0,565.0,0
21,AGE,GRANDMOTHER,1,50.0,0.0,0.2487785667181015,189.0,390.0,579.0,0
22,AGE,HEAD,1,77.0,0.0,0.382660835981369,213.0,390.0,603.0,0
23,AGE,HEAVEN,1,14.0,0.0,0.4117587506771087,85.0,390.0,305.0,0
24,AGE,HEN,1,39.0,0.0,0.3850499093532562,241.0,390.0,631.0,0
25,AGE,MEASURE,1,86.0,1.0,0.4332221746444702,24.0,390.0,366.0,0
26,AGE,SAND,1,41.0,0.0,0.3278977870941162,226.0,390.0,616.0,0
27,AGE,SCRATCH,1,11.0,0.0,0.2613238096237182,133.0,390.0,523.0,0
28,AGE,SEASON,12,70.0,0.0,0.3547668755054474,55.0,390.0,445.0,1
29,AGE,SONG,1,16.0,0.0,0.331232875585556,124.0,390.0,514.0,0
30,AGE,STRAIN,2,164.0,0.0,0.4642672538757324,52.0,390.0,338.0,1
31,AGE,SUMMER,5,5.0,0.0,0.4391786754131317,49.0,390.0,439.0,1
32,AGE,SWIM,1,2.0,0.0,0.3776595890522003,92.0,390.0,482.0,0
34,AGE,TIDE,1,73.0,0.0,0.2531338632106781,126.0,390.0,516.0,0
35,AGE,WEATHER,3,34.0,0.0,0.3641072511672973,49.0,390.0,439.0,1
36,AGE,WINTER,1,22.0,0.0,0.4205709993839264,109.0,390.0,499.0,0
37,AGE,WOUND,1,114.0,0.0,0.4460120797157287,171.0,390.0,561.0,0
38,AGE,YEAR,90,11.0,2.0,0.3544282913208008,26.0,390.0,364.0,1
39,ANIMAL,BIRD,15,16.0,4.0,0.4859340786933899,15.0,587.0,602.0,1
40,ANIMAL,BLOOD,1,31.0,0.0,0.5264021754264832,26.0,587.0,613.0,0
41,ANIMAL,BOOT,1,29.0,0.0,0.3094996213912964,8.0,587.0,595.0,0
42,ANIMAL,BURN,2,5.0,0.0,0.4691047966480255,97.0,587.0,490.0,1
43,ANIMAL,BUTTER,1,16.0,0.0,0.4701100289821625,31.0,587.0,618.0,0
44,ANIMAL,CART,1,36.0,0.0,0.150444358587265,11.0,587.0,576.0,0
45,ANIMAL,CATTLE,33,39.0,0.0,0.5100907683372498,13.0,587.0,600.0,1
46,ANIMAL,DEER,19,59.0,1.0,0.492047518491745,44.0,587.0,631.0,1
47,ANIMAL,DOG,1,53.0,33.0,0.6692096590995789,23.0,587.0,610.0,0
48,ANIMAL,DOOR,2,8.0,0.0,0.4790180027484894,19.0,587.0,606.0,1
49,ANIMAL,EYE,1,55.0,0.0,0.3953873813152313,47.0,587.0,634.0,0
51,ANIMAL,FINISH,1,78.0,0.0,0.3754312098026275,244.0,587.0,343.0,0
52,ANIMAL,FLESH,7,189.0,0.0,0.5092923045158386,10.0,587.0,597.0,1
53,ANIMAL,HONEY,1,64.0,0.0,0.5752469301223755,24.0,587.0,611.0,0
54,ANIMAL,INSECT,7,61.0,0.0,0.6346728205680847,6.0,587.0,593.0,1
57,ANIMAL,MONEY,1,25.0,0.0,0.4124340116977691,13.0,587.0,574.0,0
58,ANIMAL,PIG,1,11.0,0.0,0.4138118624687195,27.0,587.0,614.0,0
59,ANIMAL,PRISONER,1,139.0,0.0,0.4525511562824249,39.0,587.0,548.0,0
